Instance,par-it+ref-lin_t(s),par-it+ref-lin_GAP,par-it_t(s),par-it_GAP,ref-lin_t(s),ref-lin_GAP
1*,0,0,0,0,0,0
2*,0,0,0,0,0,0
3*,0,0,0,0,0,0
4*,0,0,0,0,0,0
5,600,0,420,0,600,5
6,2,0,2,0,1,0
7,6,0,6,0,61,0
8,600,0,572,0,600,3
9*,0,0,0,0,0,0
10†,600,1,600,0,600,13
11†,600,0,600,0,600,11
12*,0,0,0,0,0,0
13,44,0,44,0,600,0
14,76,0,76,0,600,0
15,20,0,20,0,10,0
16*,0,0,0,0,0,0
17*,0,0,0,0,7,0
18,0,0,0,0,0,0
19*,0,0,0,0,0,0
20*,0,0,0,0,0,0
21,4,0,4,0,6,0
22,195,0,195,0,376,0
23,183,0,183,0,397,0
24†,600,0,600,0,600,5
25,2,0,2,0,23,0
26†,600,0,600,0,600,8
27*,0,0,0,0,0,0
28,98,0,98,0,600,0
29,23,0,23,0,600,0
30,164,0,164,0,600,0
31†,600,2,600,87,600,0
32†,600,0,600,84,600,3
33†,600,0,600,84,600,10
34†,600,3,600,0,600,2
35,179,0,179,0,600,3